spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
20009654	9654	9654 Seitennokai	9654 Seitennokai															Seitennokai	2.392	1973-10-27
20009655	9655	9655 Yaburanger	9655 Yaburanger															Yaburanger	3.380	1978-04-11
20009656	9656	9656 Kurokawahiroki	9656 Kurokawahiroki															Kurokawahiroki	7.871	1985-02-13
20009657	9657	9657 Učka	9657 Učka	Učka	mountain range in Croatia	mountain range		landform		Croatia	45.25,14.2							Ucka	13.747	1981-09-25
								region												
								natural geographic entity												
20009661	9661	9661 Hohmann	9661 Hohmann	Walter Hohmann	German engineer (1880-1945)	human	organisms known by a particular common name	mammal					1880-03-18T00:00:00Z	1945-03-11T00:00:00Z	Germany	military flight engineer	male	Hohmann	27.664	1982-09-13
								person								civil engineer				
								individual animal								engineer				
								omnivore								architect				
								natural person								astronomer				
20009662	9662	9662 Frankhubbard	9662 Frankhubbard	Frank Hubbard	American harpsichord maker	human	organisms known by a particular common name	mammal					1920-05-15T00:00:00Z	1976-02-25T00:00:00Z	United States	music journalist	male	Frankhubbard	4.857	1992-04-29
								person								harpsichord maker				
								individual animal												
								omnivore												
								natural person												
20009663	9663	9663 Zwin	9663 Zwin	Zwin	North Sea inlet at the border of Belgium and the Netherlands	protected area		human-geographic territorial entity		Belgium	51.36696,3.36911							Zwin	3.660	1987-04-01
								geographic location												
						empoldered inlet		sound		Netherlands										
								former body of water												
								inlet												
						province domain		recreation area												
								natural landscape												
						marsh		wetland												
						nature area		territory												
								natural heritage												
20009664	9664	9664 Brueghel	9664 Brueghel	Pieter Brueghel the Elder	Flemish painter (1526–1569)	human	organisms known by a particular common name	mammal					1525-01-01T00:00:00Z	1569-09-09T00:00:00Z	Duchy of Brabant	painter	male	Brueghel	11.686	1981-11-03
								person								printmaker				
								individual animal								draftsperson				
								omnivore												
								natural person												
20009665	9665	9665 Inastronoviny	9665 Inastronoviny	Instantní Astronomické Noviny	Czech astronomy online magazine	online magazine		magazine										Inastronoviny	9.480	1987-08-31
								website												
								online publication												
20009667	9667	9667 Amastrinc	9667 Amastrinc															Amastrinc	7.384	1990-08-26
20009668	9668	9668 Tianyahaijiao	9668 Tianyahaijiao	Tianya Haijiao	headland in Sanya, Hainan, China	headland		promontory		People's Republic of China	18.2911,109.347							Tianyahaijiao	4.268	1979-07-26
								peninsula												
20009669	9669	9669 Symmetria	9669 Symmetria	symmetry	state; balance of object	type of property	metaclass	type										Symmetria	11.371	1981-11-25
20009670	9670	9670 Magni	9670 Magni															Magni	12.582	1986-06-06
20009672	9672	9672 Rosenbergerezek	9672 Rosenbergerezek															Rosenbergerezek	14.170	1985-08-24
20009673	9673	9673 Kunishimakoto	9673 Kunishimakoto	Makoto Kunishi		human	organisms known by a particular common name	mammal							Japan	学芸員	male	Kunishimakoto	3.492	1977-08-14
								person								astronomer				
								individual animal												
								omnivore												
								natural person												
20009674	9674	9674 Slovenija	9674 Slovenija	Slovenia	country in Central Europe	sovereign state		state		Slovenia	46,15							Slovenija	4.478	1980-03-16
								country												
						Mediterranean country		country												
								sovereign state												
						country	territorial entity type	territory												
							administrative territorial entity type	political territorial entity												
							being													
						unitary parliamentary republic	form of government	parliamentary republic												
								unitary state												
20009676	9676	9676 Eijkman	9676 Eijkman	Christiaan Eijkman	Dutch physician (1858–1930)	human	organisms known by a particular common name	mammal					1858-08-11T00:00:00Z	1930-11-05T00:00:00Z	Kingdom of the Netherlands	physician	male	Eijkman	9.961	1954-07-03
								person								biochemist				
								individual animal								university teacher				
								omnivore								physiologist				
								natural person												
20009680	9680	سیارک ۹۶۸۰		Mario Molina	Mexican chemical engineer (1943–2020)	human	organisms known by a particular common name	mammal					1943-03-19T00:00:00Z	2020-10-07T00:00:00Z	Mexico	chemist	male	Molina	4.415	1953-10-01
								person							United States	engineer				
								individual animal								university teacher				
								omnivore												
								natural person												
20009681	9681	سیارک ۹۶۸۱		F. Sherwood Rowland	American chemist (1927–2012)	human	organisms known by a particular common name	mammal					1927-06-28T00:00:00Z	2012-03-10T00:00:00Z	United States	chemist	male	Sherwoodrowland	7.339	1952-01-31
								person								university teacher				
								individual animal								author				
								omnivore												
								natural person												
20009683	9683	9683 Rambaldo	9683 Rambaldo															Rambaldo	2.937	1960-09-24
20009686	9686	سیارک ۹۶۸۶		Willem Hendrik Keesom	Dutch physicist (1876–1956)	human	organisms known by a particular common name	mammal					1876-06-21T00:00:00Z	1956-03-24T00:00:00Z	Kingdom of the Netherlands	physicist	male	Keesom	2.313	1953-09-17
								person						1956-03-03T00:00:00Z		university teacher				
								individual animal												
								omnivore												
								natural person												
20009687	9687	سیارک ۹۶۸۷		George Uhlenbeck	Dutch physicist	human	organisms known by a particular common name	mammal					1900-12-06T00:00:00Z	1988-10-31T00:00:00Z	Kingdom of the Netherlands	physicist	male	Uhlenbeck	5.380	1951-12-01
								person							United States	university teacher				
								individual animal												
								omnivore												
								natural person												
20009689	9689	(9689) Freudenthal		Hans Freudenthal	Dutch mathematician (1905–1990)	human	organisms known by a particular common name	mammal					1905-09-17T00:00:00Z	1990-10-13T00:00:00Z	Kingdom of the Netherlands	mathematician	male	Freudenthal	3.743	1960-09-24
								person							Germany	historian of mathematics				
								individual animal								university teacher				
								omnivore												
								natural person												
20009690	9690	9690 Houtgast	9690 Houtgast															Houtgast	6.525	1953-04-05
20009691	9691	9691 Zwaan	9691 Zwaan	Cornelis Zwaan	Dutch astronomer (1928-1999)	human	organisms known by a particular common name	mammal					1928-07-24T00:00:00Z	1999-06-16T00:00:00Z	Kingdom of the Netherlands	university teacher	male	Zwaan	6.566	1960-09-24
								person								astronomer				
								individual animal												
								omnivore												
								natural person												
20009694	9694	9694 Lycomedes	9694 Lycomedes	Lycomedes	king of Scyros in Greek mythology	mythological Greek character		mythical character									male	Lycomedes	31.736	1960-09-26
